,Mu,Susceptible,Infected,Recovered
62,0.49167262552714647,0.08865295530508309,0.7159260728521388,0.9070709021649535
63,0.49027147690546585,0.09658335435665329,0.7052236777043293,0.8992244930028639
64,0.4890447442289451,0.10484177359909543,0.6960645215345249,0.8910334225092688
65,0.48801784450663366,0.1132189505479339,0.6885441482427705,0.8827065145538351
66,0.48721047546238916,0.12151737898081705,0.6827229759369454,0.8744411763927032
67,0.48663625093942,0.12955378649027186,0.678630811067187,0.8664208658471567
68,0.48630250014261217,0.13716092701000066,0.6762704431562983,0.8588132551055938
69,0.486210232803336,0.1441888743359411,0.6756202313922913,0.8517689055542134
70,0.4863542648259192,0.15050596085137694,0.6766356710985532,0.8454203091669847
71,0.4867235071913943,0.15599952145003787,0.6792500915939714,0.8398811344398096
72,0.48730140965877544,0.16057653432139934,0.6833746503986157,0.8352455832352058
73,0.48806654614788225,0.1641642378639091,0.6888978439944053,0.8315877767498033
74,0.4889933281564403,0.16671075023395854,0.6956848362410127,0.8289611408866054
75,0.4900528238120968,0.16818570327164442,0.7035769228811605,0.8273977759105827
76,0.49121365697405744,0.1685808454267807,0.712391493448308,0.8269078521195045
77,0.4924429519273899,0.1679105247322722,0.7219228256957568,0.8274791172095627
78,0.49370729586668594,0.16621198633526568,0.731944096917888,0.8290765769746717
79,0.4949736779335294,0.16354529153675593,0.7422108396174173,0.831642540532127
80,0.4962103745879618,0.15999277443090418,0.7524660318138251,0.8350971122048834
81,0.4973877465881581,0.1556578762202688,0.762446791347838,0.8393392907309845
82,0.498478935883215,0.15066323221360775,0.7718925966731929,0.8442488019352479
83,0.4994604306336786,0.14514795355191204,0.7805545247684559,0.8496887282851906
84,0.5003124835941688,0.13926418299626347,0.7882048674975224,0.855508862440592
85,0.5010194404065242,0.13317275581525095,0.7946469258948241,0.8615499563340634
86,0.5015698860400188,0.1270384281687141,0.7997233365475309,0.8676484192774672
87,0.5019567082519035,0.1210246382496804,0.8033229677794972,0.873641499559083
88,0.5021770485136717,0.1152881795955977,0.8053853969557224,0.8793725793923467
89,0.5022321506067146,0.10997408796587091,0.8059025360481563,0.8846962855100952
90,0.50212714791945,0.10521100267930338,0.804917549068724,0.8894831522852329
91,0.5018707728140028,0.10110729151785836,0.8025209664855334,0.8936235484566823
92,0.5014750110552579,0.09774810963314555,0.7988445419455895,0.8970306908451866
93,0.5009547049465712,0.09519356993166236,0.794053416635975,0.8996425611690049
94,0.5003271169585043,0.09347800335738829,0.788337336534538,0.9014227398022823
95,0.4996114554012026,0.09261030121025272,0.7819015769085441,0.9023601575078508
96,0.4988283741424088,0.09257520831701656,0.7749582429339923,0.9024678896907764
97,0.49799945379658056,0.09333539582512228,0.7677184287079002,0.9017811598302818
98,0.49714667074362096,0.09483413757086112,0.760385535799198,0.9003547254755798
99,0.49629186756112126,0.09699838713436025,0.7531499432743785,0.8982598482488322
100,0.4954562375122024,0.0997420475112636,0.7461850581780772,0.8955810562052058
101,0.4946598292244699,0.1029693261051211,0.7396446050181269,0.89241280762427
102,0.4939210985901709,0.1065779061149449,0.7336611111386879,0.8888563263730205
103,0.49325649738576344,0.11046199899559374,0.7283451981705511,0.8850165480589751
104,0.4926801230058723,0.11451511064989918,0.7237855811013257,0.8809993458245762
105,0.49220343450095266,0.1186325089067536,0.7200495397636318,0.8769090507325755
106,0.4918350400655321,0.12271338741704114,0.7171836723351288,0.8728462736259136
107,0.4915805617924943,0.1266627226818783,0.715214798910022,0.8689060331473388
108,0.49144257936957186,0.130392860701622,0.7141509079008362,0.8651761544592221
109,0.4914206541895492,0.1338248447859949,0.7139820938218072,0.8617359276385109
110,0.4915114313919135,0.13688948213839508,0.714681458945573,0.8586550284378517
111,0.49170881336783673,0.1395282690875185,0.7162059704269189,0.8559925812952472
112,0.4920042046182877,0.14169409080146994,0.7184973566759416,0.8537964481247056
113,0.49238681477714974,0.14335176504411087,0.7214830620707925,0.8521026729336065
114,0.4928440125580131,0.1444784103321233,0.725077351652549,0.850935101010041
115,0.4933617179988955,0.14506364808355424,0.7291826320238323,0.8503051623665239
116,0.49392482086519285,0.1451096214013367,0.7336910622624615,0.850211836071619
117,0.4945176141480862,0.14463080294226446,0.7384865284574936,0.850641822323006
118,0.49512422496988406,0.14365358307706075,0.743446979431869,0.8515699311016308
119,0.49572903031698495,0.14221561829405865,0.7484471243295755,0.8529597074952124
120,0.49631705673776655,0.14036489885350817,0.7533615438661085,0.8547643342562882
121,0.4968743329470105,0.13815856732458498,0.7580679640811975,0.8569277824866421
122,0.49738820619138796,0.13566146133653198,0.7624507298250423,0.8593862368028368
123,0.4978476061358694,0.13294441282482303,0.7664042420545879,0.8620697650700666
124,0.4982432590099985,0.13008234143842518,0.7698362405771084,0.8649041961667665
125,0.49856782830239266,0.1271521833720433,0.7726705602677156,0.8678131682888243
126,0.498816016614071,0.12423077225054058,0.7748494877175269,0.8707202295048578
127,0.49898461962417834,0.12139266436751028,0.776335488145877,0.8735510006943223
128,0.49907249920497093,0.11870807727190666,0.7771118863794155,0.8762352357471613
129,0.49908053334290026,0.11624097582034673,0.777182930181043,0.8787087403346656
130,0.4990115188370986,0.11404736973213894,0.776573001448805,0.8809150874880947
131,0.49887001524218394,0.11217398487316539,0.7753248999894431,0.8828069680842014
132,0.498662176063756,0.11065722588507136,0.7734976805553222,0.8843472538321
133,0.4983955392667653,0.10952254250238093,0.77116390230696,0.8855096615704038
134,0.4980788050166442,0.10878417843149246,0.7684066595597444,0.8862790362008565
135,0.49772158083654056,0.10844527880374444,0.7653163442473669,0.8866512768336446
136,0.49733412009396427,0.10849835998226667,0.7619874793228636,0.8866328988001273
137,0.4969270584172875,0.10892606170765812,0.7585157478736962,0.8862403104684977
138,0.4965111441188207,0.10970214719674512,0.7549952394292668,0.8854988391191084
139,0.4960969751800645,0.11079268982035001,0.7515160443053012,0.8844415660566752
140,0.49569474333560737,0.11215740582435813,0.7481621919290515,0.883108011651229
141,0.49531400006694665,0.11375104581905769,0.7450100224465029,0.8815427568957909
142,0.4949634482260434,0.11552478258471803,0.7421269655194529,0.8797940643849645
143,0.49465075030375516,0.11742762487184223,0.7395705855427938,0.8779124704245888
144,0.4943823721430681,0.11940776150902765,0.737387978378721,0.8759494433430294
145,0.49416346161944713,0.12141382344082458,0.7356154455191551,0.8739561211951211
