Country,Year,Sex,Age,Population
Italy,2020,Male,115,38747
Italy,2020,Male,116,38747
Italy,2020,Male,117,38747
Italy,2020,Male,118,38747
Italy,2020,Male,119,38747
Italy,2020,Male,120,38747
Italy,2020,Male,121,38747
Italy,2020,Male,122,38747
Italy,2020,Female,80,64986
Italy,2020,Female,81,64986
Italy,2020,Female,82,64986
Italy,2020,Female,83,64986
Italy,2020,Female,84,64986
Italy,2020,Female,85,64986
Italy,2020,Female,86,64986
Italy,2020,Female,87,64986
Italy,2020,Female,88,64986
Italy,2020,Female,89,64986
Italy,2020,Female,90,64986
Italy,2020,Female,91,64986
Italy,2020,Female,92,64986
Italy,2020,Female,93,64986
Italy,2020,Female,94,64986
Italy,2020,Female,95,64986
Italy,2020,Female,96,64986
Italy,2020,Female,97,64986
Italy,2020,Female,98,64986
Italy,2020,Female,99,64986
Italy,2020,Female,100,64986
Italy,2020,Female,101,64986
Italy,2020,Female,102,64986
Italy,2020,Female,103,64986
Italy,2020,Female,104,64986
Italy,2020,Female,105,64986
Italy,2020,Female,106,64986
Italy,2020,Female,107,64986
Italy,2020,Female,108,64986
Italy,2020,Female,109,64986
Italy,2020,Female,110,64986
Italy,2020,Female,111,64986
Italy,2020,Female,112,64986
Italy,2020,Female,113,64986
Italy,2020,Female,114,64986
Italy,2020,Female,115,64986
Italy,2020,Female,116,64986
Italy,2020,Female,117,64986
Italy,2020,Female,118,64986
Italy,2020,Female,119,64986
Italy,2020,Female,120,64986
Italy,2020,Female,121,64986
Italy,2020,Female,122,64986
Italy,2019,Male,0,242100
Italy,2019,Male,1,242100
Italy,2019,Male,2,242100
Italy,2019,Male,3,242100
Italy,2019,Male,4,242100
Italy,2019,Female,0,227947
Italy,2019,Female,1,227947
Italy,2019,Female,2,227947
Italy,2019,Female,3,227947
Italy,2019,Female,4,227947
Italy,2019,Male,5,276282
Italy,2019,Male,6,276282
Italy,2019,Male,7,276282
Italy,2019,Male,8,276282
Italy,2019,Male,9,276282
Italy,2019,Female,5,260545
Italy,2019,Female,6,260545
Italy,2019,Female,7,260545
Italy,2019,Female,8,260545
Italy,2019,Female,9,260545
Italy,2019,Male,10,291307
Italy,2019,Male,11,291307
Italy,2019,Male,12,291307
Italy,2019,Male,13,291307
Italy,2019,Male,14,291307
Italy,2019,Female,10,274675
Italy,2019,Female,11,274675
Italy,2019,Female,12,274675
Italy,2019,Female,13,274675
Italy,2019,Female,14,274675
Italy,2019,Male,15,292864
Italy,2019,Male,16,292864
Italy,2019,Male,17,292864
Italy,2019,Male,18,292864
Italy,2019,Male,19,292864
Italy,2019,Female,15,273651
Italy,2019,Female,16,273651
Italy,2019,Female,17,273651
Italy,2019,Female,18,273651
Italy,2019,Female,19,273651
Italy,2019,Male,20,302496
Italy,2019,Male,21,302496
Italy,2019,Male,22,302496
Italy,2019,Male,23,302496
Italy,2019,Male,24,302496
Italy,2019,Female,20,280553
Italy,2019,Female,21,280553
Italy,2019,Female,22,280553
Italy,2019,Female,23,280553
Italy,2019,Female,24,280553
Italy,2019,Male,25,321724
Italy,2019,Male,26,321724
Italy,2019,Male,27,321724
Italy,2019,Male,28,321724
Italy,2019,Male,29,321724
Italy,2019,Female,25,305633
Italy,2019,Female,26,305633
Italy,2019,Female,27,305633
Italy,2019,Female,28,305633
Italy,2019,Female,29,305633
Italy,2019,Male,30,337696
Italy,2019,Male,31,337696
Italy,2019,Male,32,337696
Italy,2019,Male,33,337696
Italy,2019,Male,34,337696
Italy,2019,Female,30,331092
Italy,2019,Female,31,331092
Italy,2019,Female,32,331092
Italy,2019,Female,33,331092
Italy,2019,Female,34,331092
Italy,2019,Male,35,367199
Italy,2019,Male,36,367199
Italy,2019,Male,37,367199
Italy,2019,Male,38,367199
Italy,2019,Male,39,367199
Italy,2019,Female,35,364904
Italy,2019,Female,36,364904
Italy,2019,Female,37,364904
Italy,2019,Female,38,364904
Italy,2019,Female,39,364904
Italy,2019,Male,40,425691
Italy,2019,Male,41,425691
Italy,2019,Male,42,425691
Italy,2019,Male,43,425691
Italy,2019,Male,44,425691
Italy,2019,Female,40,427444
Italy,2019,Female,41,427444
Italy,2019,Female,42,427444
Italy,2019,Female,43,427444
Italy,2019,Female,44,427444
Italy,2019,Male,45,479809
Italy,2019,Male,46,479809
Italy,2019,Male,47,479809
Italy,2019,Male,48,479809
Italy,2019,Male,49,479809
Italy,2019,Female,45,487070
Italy,2019,Female,46,487070
Italy,2019,Female,47,487070
Italy,2019,Female,48,487070
Italy,2019,Female,49,487070
Italy,2019,Male,50,475647
Italy,2019,Male,51,475647
Italy,2019,Male,52,475647
Italy,2019,Male,53,475647
Italy,2019,Male,54,475647
Italy,2019,Female,50,490240
Italy,2019,Female,51,490240
Italy,2019,Female,52,490240
Italy,2019,Female,53,490240
Italy,2019,Female,54,490240
Italy,2019,Male,55,438242
Italy,2019,Male,56,438242
Italy,2019,Male,57,438242
Italy,2019,Male,58,438242
Italy,2019,Male,59,438242
Italy,2019,Female,55,460867
Italy,2019,Female,56,460867
Italy,2019,Female,57,460867
Italy,2019,Female,58,460867
Italy,2019,Female,59,460867
Italy,2019,Male,60,365928
Italy,2019,Male,61,365928
Italy,2019,Male,62,365928
Italy,2019,Male,63,365928
Italy,2019,Male,64,365928
Italy,2019,Female,60,395189
Italy,2019,Female,61,395189
Italy,2019,Female,62,395189
Italy,2019,Female,63,395189
Italy,2019,Female,64,395189
Italy,2019,Male,65,331530
Italy,2019,Male,66,331530
Italy,2019,Male,67,331530
Italy,2019,Male,68,331530
Italy,2019,Male,69,331530
Italy,2019,Female,65,365533
Italy,2019,Female,66,365533
Italy,2019,Female,67,365533
Italy,2019,Female,68,365533
Italy,2019,Female,69,365533
Italy,2019,Male,75,229571
Italy,2019,Male,76,229571
Italy,2019,Male,77,229571
Italy,2019,Male,78,229571
Italy,2019,Male,79,229571
Italy,2019,Female,75,285389
Italy,2019,Female,76,285389
Italy,2019,Female,77,285389
Italy,2019,Female,78,285389
Italy,2019,Female,79,285389
Italy,2019,Male,80,38103
Italy,2019,Male,81,38103
Italy,2019,Male,82,38103
Italy,2019,Male,83,38103
Italy,2019,Male,84,38103
Italy,2019,Male,85,38103
Italy,2019,Male,86,38103
Italy,2019,Male,87,38103
Italy,2019,Male,88,38103
Italy,2019,Male,89,38103
Italy,2019,Male,90,38103
Italy,2019,Male,91,38103
Italy,2019,Male,92,38103
Italy,2019,Male,93,38103
Italy,2019,Male,94,38103
Italy,2019,Male,95,38103
Italy,2019,Male,96,38103
Italy,2019,Male,97,38103
Italy,2019,Male,98,38103
Italy,2019,Male,99,38103
Italy,2019,Male,100,38103
Italy,2019,Male,101,38103
Italy,2019,Male,102,38103
Italy,2019,Male,103,38103
Italy,2019,Male,104,38103
Italy,2019,Male,105,38103
Italy,2019,Male,106,38103
Italy,2019,Male,107,38103
Italy,2019,Male,108,38103
Italy,2019,Male,109,38103
Italy,2019,Male,110,38103
Italy,2019,Male,111,38103
Italy,2019,Male,112,38103
Italy,2019,Male,113,38103
Italy,2019,Male,114,38103
Italy,2019,Male,115,38103
Italy,2019,Male,116,38103
Italy,2019,Male,117,38103
Italy,2019,Male,118,38103
Italy,2019,Male,119,38103
Italy,2019,Male,120,38103
Italy,2019,Male,121,38103
Italy,2019,Male,122,38103
Italy,2019,Female,80,64341
Italy,2019,Female,81,64341
Italy,2019,Female,82,64341
Italy,2019,Female,83,64341
Italy,2019,Female,84,64341
Italy,2019,Female,85,64341
Italy,2019,Female,86,64341
Italy,2019,Female,87,64341
Italy,2019,Female,88,64341
Italy,2019,Female,89,64341
Italy,2019,Female,90,64341
Italy,2019,Female,91,64341
Italy,2019,Female,92,64341
Italy,2019,Female,93,64341
Italy,2019,Female,94,64341
Italy,2019,Female,95,64341
Italy,2019,Female,96,64341
Italy,2019,Female,97,64341
Italy,2019,Female,98,64341
Italy,2019,Female,99,64341
Italy,2019,Female,100,64341
Italy,2019,Female,101,64341
Italy,2019,Female,102,64341
Italy,2019,Female,103,64341
Italy,2019,Female,104,64341
Italy,2019,Female,105,64341
Italy,2019,Female,106,64341
Italy,2019,Female,107,64341
Italy,2019,Female,108,64341
Italy,2019,Female,109,64341
Italy,2019,Female,110,64341
Italy,2019,Female,111,64341
Italy,2019,Female,112,64341
Italy,2019,Female,113,64341
Italy,2019,Female,114,64341
Italy,2019,Female,115,64341
Italy,2019,Female,116,64341
Italy,2019,Female,117,64341
Italy,2019,Female,118,64341
Italy,2019,Female,119,64341
Italy,2019,Female,120,64341
Italy,2019,Female,121,64341
Italy,2019,Female,122,64341
Italy,2018,Male,0,250813
Italy,2018,Male,1,250813
Italy,2018,Male,2,250813
Italy,2018,Male,3,250813
Italy,2018,Male,4,250813
Italy,2018,Female,0,236029
Italy,2018,Female,1,236029
Italy,2018,Female,2,236029
Italy,2018,Female,3,236029
Italy,2018,Female,4,236029
Italy,2018,Male,5,283948
Italy,2018,Male,6,283948
Italy,2018,Male,7,283948
Italy,2018,Male,8,283948
Italy,2018,Male,9,283948
Italy,2018,Female,5,267936
Italy,2018,Female,6,267936
Italy,2018,Female,7,267936
Italy,2018,Female,8,267936
Italy,2018,Female,9,267936
Italy,2018,Male,10,294585
Italy,2018,Male,11,294585
Italy,2018,Male,12,294585
Italy,2018,Male,13,294585
Italy,2018,Male,14,294585
Italy,2018,Female,10,277418
Italy,2018,Female,11,277418
Italy,2018,Female,12,277418
Italy,2018,Female,13,277418
Italy,2018,Female,14,277418
Italy,2018,Male,15,295690
Italy,2018,Male,16,295690
Italy,2018,Male,17,295690
Italy,2018,Male,18,295690
Italy,2018,Male,19,295690
Italy,2018,Female,15,275110
Italy,2018,Female,16,275110
Italy,2018,Female,17,275110
Italy,2018,Female,18,275110
Italy,2018,Female,19,275110
Italy,2018,Male,20,307307
Italy,2018,Male,21,307307
Italy,2018,Male,22,307307
Italy,2018,Male,23,307307
Italy,2018,Male,24,307307
Italy,2018,Female,20,285371
Italy,2018,Female,21,285371
Italy,2018,Female,22,285371
Italy,2018,Female,23,285371
Italy,2018,Female,24,285371
Italy,2018,Male,25,325861
Italy,2018,Male,26,325861
Italy,2018,Male,27,325861
Italy,2018,Male,28,325861
Italy,2018,Male,29,325861
Italy,2018,Female,25,311501
Italy,2018,Female,26,311501
Italy,2018,Female,27,311501
Italy,2018,Female,28,311501
Italy,2018,Female,29,311501
Italy,2018,Male,30,343366
Italy,2018,Male,31,343366
Italy,2018,Male,32,343366
Italy,2018,Male,33,343366
Italy,2018,Male,34,343366
Italy,2018,Female,30,337736
Italy,2018,Female,31,337736
Italy,2018,Female,32,337736
Italy,2018,Female,33,337736
Italy,2018,Female,34,337736
Italy,2018,Male,35,379841
Italy,2018,Male,36,379841
Italy,2018,Male,37,379841
Italy,2018,Male,38,379841
Italy,2018,Male,39,379841
Italy,2018,Female,35,378260
Italy,2018,Female,36,378260
Italy,2018,Female,37,378260
Italy,2018,Female,38,378260
Italy,2018,Female,39,378260
Italy,2018,Male,40,444097
Italy,2018,Male,41,444097
Italy,2018,Male,42,444097
Italy,2018,Male,43,444097
Italy,2018,Male,44,444097
Italy,2018,Female,40,446739
Italy,2018,Female,41,446739
Italy,2018,Female,42,446739
